attendance,study_hours,internal_marks,assignments_submitted,activities_participated,outcome
46.6,3.8,36.3,3,5,Fail
68.6,2.3,87.7,4,5,Pass
36.6,4.5,95.2,0,0,Fail
61.1,2.0,35.3,1,3,Fail
64.9,3.4,61.6,10,4,Pass
28.9,4.2,44.4,3,5,Fail
50.2,2.4,81.6,3,4,Fail
35.1,2.0,79.1,10,5,Pass
29.8,2.8,35.6,9,3,Fail
99.2,4.6,90.8,5,5,Pass
49.2,5.1,38.6,5,1,Pass
85.7,3.2,84.8,7,3,Pass
44.1,3.8,59.3,8,4,Pass
76.1,5.0,49.6,0,2,Fail
82.0,1.0,36.9,0,5,Fail
69.7,1.7,37.6,5,1,Fail
60.4,4.0,74.6,3,3,Pass
55.9,4.6,66.3,10,0,Pass
51.2,4.8,34.2,3,3,Fail
94.7,2.6,33.5,0,4,Fail
87.3,0.9,30.4,8,4,Fail
97.4,2.7,80.8,10,0,Pass
34.3,1.7,78.4,2,1,Fail
79.8,2.0,29.4,4,4,Fail
95.4,4.4,67.0,9,1,Pass
38.6,0.9,31.4,0,1,Fail
30.0,4.6,92.8,7,3,Pass
80.6,2.6,93.0,2,1,Fail
68.1,3.5,77.4,0,5,Fail
88.1,0.9,94.5,9,4,Pass
35.5,2.2,85.9,5,4,Fail
84.6,0.9,87.1,0,2,Fail
40.1,5.3,67.7,2,1,Pass
37.3,4.5,48.0,4,2,Fail
37.3,2.8,41.3,3,3,Fail
86.1,1.6,49.5,6,2,Fail
74.9,5.2,72.1,5,1,Pass
64.2,2.2,37.9,2,4,Fail
51.9,1.3,44.4,10,3,Fail
90.8,3.3,60.1,7,1,Pass
54.4,5.2,42.5,7,3,Pass
86.2,0.5,69.1,1,0,Fail
57.9,1.7,94.2,6,1,Fail
53.3,5.2,81.1,0,0,Pass
59.7,1.4,75.0,1,2,Fail
47.6,1.1,68.7,7,1,Fail
81.1,3.4,61.6,0,0,Fail
62.7,4.8,39.0,1,5,Fail
42.4,2.9,92.1,0,4,Fail
92.5,5.5,43.6,4,2,Pass
53.8,3.9,31.8,6,1,Fail
65.8,0.9,81.3,5,1,Fail
93.0,5.5,38.2,5,4,Pass
71.8,2.5,52.9,5,4,Fail
33.8,1.9,27.1,7,0,Fail
95.5,3.3,35.3,4,0,Fail
72.1,2.0,38.0,9,0,Fail
50.1,0.9,29.1,6,3,Fail
35.4,0.5,74.2,2,2,Fail
84.6,2.7,87.8,8,1,Pass
71.5,4.7,53.0,9,2,Pass
65.0,3.4,90.6,2,4,Pass
92.0,5.5,41.0,5,5,Pass
84.1,1.9,49.4,2,2,Fail
36.4,1.9,36.3,0,2,Fail
48.4,1.3,71.5,0,0,Fail
43.6,1.3,56.5,2,4,Fail
80.8,1.9,71.0,3,2,Fail
27.5,4.5,82.1,1,1,Fail
67.7,5.0,65.9,8,0,Pass
82.2,5.4,72.1,10,2,Pass
90.8,1.7,95.1,7,4,Pass
50.7,4.9,47.4,2,5,Pass
86.6,2.1,51.9,6,1,Fail
33.3,1.1,78.8,3,5,Fail
88.5,4.9,70.8,4,4,Pass
34.6,3.7,38.4,3,4,Fail
54.8,1.3,53.2,8,4,Fail
84.8,2.6,60.1,10,5,Pass
36.2,1.9,56.5,6,3,Fail
42.2,4.2,38.4,3,1,Fail
79.2,2.8,94.3,7,4,Pass
79.0,5.4,82.2,1,3,Pass
73.1,0.8,61.1,6,0,Fail
77.0,2.3,76.0,10,3,Pass
65.7,2.9,92.3,0,0,Fail
43.9,3.0,35.2,7,5,Fail
50.9,2.1,43.8,5,3,Fail
38.6,4.1,65.7,4,5,Pass
93.1,4.9,84.9,8,4,Pass
68.8,5.2,27.7,8,3,Pass
55.1,4.5,98.8,2,3,Pass
59.7,4.8,59.1,8,4,Pass
96.0,3.3,51.9,8,0,Pass
36.5,4.6,47.0,1,4,Fail
69.0,2.0,38.1,4,1,Fail
62.9,2.5,84.4,10,3,Pass
70.9,2.1,96.7,1,1,Fail
26.4,2.8,56.0,0,4,Fail
90.4,1.9,96.4,6,5,Pass
94.9,5.3,86.8,3,4,Pass
67.4,2.1,61.1,4,2,Fail
77.2,1.0,75.6,3,1,Fail
94.2,3.1,57.6,5,2,Pass
78.0,0.8,66.9,10,1,Fail
36.4,1.1,29.4,1,5,Fail
68.2,1.6,77.2,7,2,Fail
70.5,2.8,29.0,3,2,Fail
56.8,2.7,86.3,7,1,Pass
80.2,4.5,86.9,2,4,Pass
95.1,4.2,42.8,10,0,Pass
94.4,2.6,49.3,4,4,Fail
58.8,2.2,61.1,2,0,Fail
33.5,2.1,69.7,6,1,Fail
98.9,4.4,46.6,2,3,Pass
87.9,0.8,69.4,7,4,Fail
34.3,0.6,47.3,8,2,Fail
94.1,4.5,29.2,1,4,Fail
90.2,2.9,25.2,2,1,Fail
63.9,1.2,32.6,6,3,Fail
69.3,1.7,84.4,4,3,Fail
54.9,5.2,97.1,9,4,Pass
29.1,4.8,57.0,6,4,Pass
50.1,4.0,63.5,1,5,Fail
85.2,2.9,36.0,3,4,Fail
25.3,3.1,66.3,0,1,Fail
50.0,5.4,35.8,4,0,Fail
54.9,5.3,70.8,7,5,Pass
65.3,1.6,95.0,0,0,Fail
94.0,4.6,39.7,6,2,Pass
51.0,1.5,82.3,6,1,Fail
51.0,1.6,26.8,6,5,Fail
80.3,3.9,53.2,0,3,Fail
58.9,2.5,33.3,10,5,Fail
41.8,5.2,51.4,2,2,Fail
58.9,0.9,38.0,10,3,Fail
35.6,3.1,53.0,1,5,Fail
38.2,5.1,56.3,4,3,Pass
62.4,5.0,47.5,1,4,Pass
56.4,1.3,74.2,4,3,Fail
93.6,2.3,93.9,4,5,Pass
52.2,3.6,55.0,3,3,Fail
68.5,1.3,39.4,10,1,Fail
72.4,5.3,45.3,6,4,Pass
26.0,5.1,89.1,9,4,Pass
74.8,1.3,67.9,5,2,Fail
38.4,1.1,59.1,1,4,Fail
97.1,0.9,36.2,3,0,Fail
36.1,5.0,58.7,10,1,Pass
56.1,1.5,45.9,6,2,Fail
31.4,2.6,95.7,8,0,Pass
99.8,2.7,91.3,8,3,Pass
62.7,3.5,31.3,2,0,Fail
69.7,0.9,63.7,0,2,Fail
30.0,1.6,41.9,8,4,Fail
81.2,5.2,55.8,7,1,Pass
40.7,5.0,90.8,6,2,Pass
92.4,4.4,64.6,5,0,Pass
40.4,0.6,50.1,9,0,Fail
39.3,2.1,40.6,6,2,Fail
27.7,3.6,85.0,10,5,Pass
60.4,1.9,71.8,8,5,Pass
67.4,5.0,60.1,5,2,Pass
29.9,3.7,41.3,9,5,Pass
83.2,0.9,50.1,2,2,Fail
59.0,5.0,97.0,2,4,Pass
64.3,5.3,64.0,3,2,Pass
58.1,0.9,55.1,9,3,Fail
55.1,3.2,64.1,9,1,Pass
67.0,2.0,83.4,7,1,Fail
36.6,2.5,50.5,9,3,Fail
38.6,1.4,38.4,8,0,Fail
89.6,3.4,68.9,7,0,Pass
96.0,5.3,74.9,10,0,Pass
53.0,3.0,78.5,9,0,Pass
45.3,0.9,91.1,1,4,Fail
73.3,3.6,52.8,3,3,Fail
55.7,2.2,30.7,3,1,Fail
26.9,4.8,96.9,1,3,Pass
36.7,2.7,57.6,7,1,Fail
78.7,1.5,71.7,2,0,Fail
74.4,1.5,75.0,1,4,Fail
27.0,4.3,66.0,6,2,Pass
41.6,1.8,40.4,0,2,Fail
42.3,4.3,81.6,5,5,Pass
75.4,1.5,85.3,2,0,Fail
26.5,2.1,66.5,2,0,Fail
32.8,2.8,61.6,4,3,Fail
85.0,5.2,33.5,2,4,Pass
38.4,5.2,31.3,3,4,Fail
74.0,1.5,50.5,2,3,Fail
42.9,2.3,48.3,6,4,Fail
32.5,1.2,96.5,2,4,Fail
43.2,3.0,83.8,9,2,Pass
79.2,2.8,74.5,3,4,Pass
89.2,5.0,63.8,1,0,Pass
87.3,5.2,37.6,1,2,Pass
54.8,2.4,98.4,8,0,Pass
75.1,3.0,53.1,10,0,Pass
40.4,5.0,33.0,0,3,Fail
47.0,4.5,62.0,0,5,Fail
92.2,0.5,90.5,9,4,Pass
26.0,2.1,91.5,0,4,Fail
31.4,2.6,25.8,2,4,Fail
40.6,1.6,91.5,1,4,Fail
27.0,1.5,45.4,2,2,Fail
38.6,0.7,27.9,4,1,Fail
68.7,3.7,88.6,8,0,Pass
56.6,1.8,89.8,1,5,Fail
92.0,0.8,69.7,10,5,Pass
86.3,1.7,68.1,0,1,Fail
50.6,4.5,86.0,10,1,Pass
44.5,4.8,84.0,5,1,Pass
53.5,2.9,91.8,2,2,Fail
69.3,2.6,66.5,6,1,Fail
45.1,5.4,97.6,5,2,Pass
71.8,1.5,99.7,10,3,Pass
55.7,1.6,33.7,6,3,Fail
66.4,2.0,88.7,4,5,Pass
57.7,1.4,62.5,0,3,Fail
47.1,2.4,54.1,2,2,Fail
96.1,5.1,71.0,2,2,Pass
82.3,3.6,29.2,6,0,Fail
35.5,2.6,63.0,2,1,Fail
90.1,5.2,90.3,10,4,Pass
61.6,0.7,41.0,4,4,Fail
92.1,1.6,57.0,3,1,Fail
85.0,3.3,95.5,3,4,Pass
56.9,3.6,57.1,6,4,Pass
26.7,0.7,51.9,0,4,Fail
45.2,2.5,58.0,6,5,Fail
65.6,3.7,64.0,7,2,Pass
72.5,4.0,72.4,2,2,Pass
44.3,3.7,85.1,2,2,Fail
35.5,2.1,58.9,3,1,Fail
87.6,1.0,86.3,5,3,Fail
98.8,2.6,65.0,6,5,Pass
64.4,1.1,50.4,0,5,Fail
37.9,5.2,74.3,3,4,Pass
45.4,2.9,78.8,6,0,Fail
26.4,2.1,66.9,10,2,Fail
93.6,4.3,29.2,1,5,Fail
33.8,3.0,37.7,0,5,Fail
68.2,2.1,46.4,0,0,Fail
45.6,4.6,46.2,9,4,Pass
66.6,4.8,75.5,5,5,Pass
73.9,3.9,26.4,4,5,Fail
87.2,0.7,81.7,0,3,Fail
40.5,3.3,44.9,9,0,Fail
25.8,4.3,48.3,2,4,Fail
35.3,1.2,64.6,10,4,Fail
92.5,1.6,41.2,6,2,Fail
90.5,4.9,91.3,8,3,Pass
69.8,0.6,31.4,8,4,Fail
70.0,4.3,58.3,5,3,Pass
74.9,2.9,88.7,2,2,Fail
38.2,2.7,71.2,0,0,Fail
93.6,0.5,46.9,2,5,Fail
56.4,4.6,56.6,9,5,Pass
53.7,2.3,78.0,1,1,Fail
63.9,3.2,98.0,10,1,Pass
28.5,3.9,92.0,4,1,Pass
37.5,4.0,50.7,7,5,Pass
80.4,5.3,99.9,4,3,Pass
31.2,3.2,25.3,0,1,Fail
70.2,2.5,27.1,2,0,Fail
43.4,5.3,86.8,4,4,Pass
54.2,3.7,40.0,6,3,Fail
46.7,2.0,29.6,4,5,Fail
51.7,1.1,42.8,9,0,Fail
78.9,4.7,57.0,4,5,Pass
47.3,2.3,79.8,6,3,Fail
67.5,3.8,71.8,7,3,Pass
60.7,2.9,42.8,7,3,Fail
74.8,1.5,62.7,6,2,Fail
95.3,3.5,94.5,2,4,Pass
79.9,0.8,86.1,10,1,Pass
41.1,2.6,49.2,1,2,Fail
27.3,3.2,98.7,0,4,Fail
44.7,2.7,78.1,5,5,Pass
69.6,4.2,29.7,8,1,Pass
28.9,4.6,27.6,2,2,Fail
62.2,4.4,37.6,4,2,Fail
69.8,0.7,79.6,8,0,Fail
50.1,1.5,38.8,8,2,Fail
82.8,3.2,63.4,6,3,Pass
33.0,5.2,32.0,3,5,Fail
30.6,4.7,94.1,10,2,Pass
79.6,4.7,50.8,1,3,Pass
62.2,2.0,93.1,1,4,Fail
76.6,2.6,95.9,3,4,Pass
57.6,2.9,25.5,0,3,Fail
43.5,1.3,59.8,3,0,Fail
86.4,0.7,26.8,10,0,Fail
85.0,5.2,93.2,5,4,Pass
77.1,1.7,63.9,5,5,Fail
45.4,1.7,30.6,6,2,Fail
69.3,0.9,33.3,4,4,Fail
52.1,5.1,53.8,8,4,Pass
31.9,3.4,95.5,1,3,Fail
93.8,3.8,77.0,1,0,Pass
35.3,5.1,90.1,3,5,Pass
96.3,2.2,52.5,3,3,Fail
58.5,3.6,28.2,3,4,Fail
38.9,0.7,98.1,0,1,Fail
65.6,1.4,26.3,3,2,Fail
90.5,4.7,96.1,4,4,Pass
79.9,4.3,52.7,8,3,Pass
85.5,2.3,25.8,2,1,Fail
74.4,2.4,76.7,2,1,Fail
76.9,3.2,98.5,4,4,Pass
88.7,0.5,97.4,9,5,Pass
43.7,1.7,37.1,5,0,Fail
61.7,1.5,38.6,2,1,Fail
41.6,1.8,67.4,0,2,Fail
99.1,4.5,72.8,9,3,Pass
95.8,1.9,80.5,7,3,Pass
28.0,1.5,38.6,0,3,Fail
77.9,3.0,96.9,1,4,Pass
94.4,4.8,72.9,2,3,Pass
38.5,1.7,88.5,5,3,Fail
67.6,0.9,65.5,3,2,Fail
93.7,2.3,56.1,3,0,Fail
27.5,4.2,98.3,8,5,Pass
77.3,3.3,68.7,5,4,Pass
47.3,4.6,90.0,1,4,Pass
94.3,5.3,96.5,6,3,Pass
97.8,4.5,75.7,2,2,Pass
95.8,3.5,66.2,8,1,Pass
60.6,3.0,25.3,5,3,Fail
89.7,0.7,28.0,7,3,Fail
88.3,5.4,40.1,0,4,Pass
48.9,2.4,39.0,1,4,Fail
87.2,1.3,44.1,5,3,Fail
27.8,3.8,47.9,2,4,Fail
69.7,1.9,52.0,0,2,Fail
42.3,3.4,56.5,5,1,Fail
34.0,3.4,32.4,4,1,Fail
30.8,2.7,28.2,8,1,Fail
77.2,4.7,75.5,5,3,Pass
50.5,1.8,65.3,4,5,Fail
79.4,2.7,58.3,0,3,Fail
29.9,3.2,72.6,0,3,Fail
48.6,3.8,87.1,10,2,Pass
65.5,4.4,57.1,0,1,Fail
84.3,2.5,73.1,6,4,Pass
48.9,3.7,96.5,5,4,Pass
71.9,1.3,88.0,4,0,Fail
91.4,5.2,57.0,3,0,Pass
71.2,2.4,73.4,10,5,Pass
42.5,4.1,38.3,10,4,Pass
26.8,0.6,67.0,7,1,Fail
90.3,1.5,98.6,10,3,Pass
26.6,2.9,63.9,7,4,Fail
90.6,4.9,94.6,4,5,Pass
64.7,3.1,55.6,3,5,Fail
95.4,5.1,99.9,1,4,Pass
84.9,2.9,68.4,6,0,Pass
99.8,3.0,28.2,4,1,Fail
51.3,1.1,69.0,2,4,Fail
82.5,4.5,45.6,8,3,Pass
55.1,1.7,27.4,8,3,Fail
61.0,5.0,86.6,10,2,Pass
72.1,5.1,45.7,10,3,Pass
90.5,5.2,84.7,9,4,Pass
98.8,3.1,46.6,10,4,Pass
82.6,3.9,39.6,7,3,Pass
56.3,4.4,98.0,0,0,Pass
56.6,1.2,52.1,2,1,Fail
80.3,3.5,70.1,1,5,Pass
42.9,0.7,70.7,3,4,Fail
33.3,3.0,67.0,1,3,Fail
51.6,1.3,93.6,10,5,Pass
46.5,1.4,75.6,7,3,Fail
47.2,2.3,55.3,0,4,Fail
42.5,2.7,89.7,3,2,Fail
28.2,3.6,38.6,4,1,Fail
26.3,0.9,65.8,9,4,Fail
99.1,3.0,96.3,3,5,Pass
57.1,1.4,71.9,7,3,Fail
53.8,3.4,86.3,1,2,Fail
76.0,3.7,74.0,8,4,Pass
41.4,3.3,88.0,1,1,Fail
96.2,4.2,95.8,1,2,Pass
84.0,2.2,45.5,1,5,Fail
31.7,4.3,37.7,9,3,Pass
56.3,2.7,61.3,7,0,Fail
90.9,2.9,77.6,2,1,Fail
95.9,3.7,42.0,9,2,Pass
60.1,0.6,25.3,10,4,Fail
71.0,3.8,50.7,9,4,Pass
37.5,3.6,97.7,7,2,Pass
99.3,2.0,77.1,6,4,Pass
42.4,0.9,55.1,9,2,Fail
95.7,1.0,39.4,3,1,Fail
73.7,5.1,51.7,6,4,Pass
70.6,3.9,37.7,10,1,Pass
63.5,1.1,33.0,7,3,Fail
42.3,2.3,93.0,5,3,Fail
38.2,3.5,99.8,5,3,Pass
41.5,4.7,37.3,2,3,Fail
39.0,0.7,29.1,4,4,Fail
83.5,1.7,49.7,9,2,Fail
51.3,4.9,59.6,1,4,Pass
29.3,0.5,40.4,4,5,Fail
97.7,1.5,47.6,4,4,Fail
91.3,5.3,40.1,6,1,Pass
94.6,3.6,83.1,3,2,Pass
99.6,1.8,78.4,10,0,Pass
38.0,0.8,72.6,5,0,Fail
54.7,0.6,54.0,8,2,Fail
81.9,1.7,93.2,3,0,Fail
77.2,4.9,97.7,10,2,Pass
36.5,2.6,38.0,5,1,Fail
86.2,4.1,41.7,8,1,Pass
41.8,5.1,64.4,9,4,Pass
41.8,2.5,31.8,0,0,Fail
65.3,1.5,57.7,7,2,Fail
69.5,3.1,68.6,0,1,Fail
68.5,5.0,64.2,3,4,Pass
31.9,4.5,49.8,2,0,Fail
90.8,0.8,65.7,3,0,Fail
44.9,4.0,96.9,6,0,Pass
34.7,3.4,40.5,8,1,Fail
91.7,5.0,74.1,8,1,Pass
96.7,1.1,28.3,9,0,Fail
89.7,3.2,30.0,0,1,Fail
85.7,4.9,66.4,9,0,Pass
74.1,2.6,32.9,0,3,Fail
66.3,2.9,26.7,8,1,Fail
31.5,0.9,37.9,3,2,Fail
55.6,1.9,67.4,2,1,Fail
53.0,2.1,77.8,8,0,Fail
44.5,5.2,40.2,4,2,Pass
79.3,1.9,75.1,5,4,Fail
62.2,2.8,38.7,0,2,Fail
31.1,3.9,71.0,0,2,Fail
41.5,1.3,55.9,6,1,Fail
76.2,2.9,74.0,9,5,Pass
30.7,4.2,99.6,7,2,Pass
88.8,4.8,95.3,10,2,Pass
62.1,3.6,25.3,7,0,Fail
61.0,3.8,91.4,6,1,Pass
69.4,1.1,30.0,10,0,Fail
86.9,5.2,96.5,8,1,Pass
51.1,1.2,46.1,0,4,Fail
75.9,4.4,53.7,1,5,Pass
67.4,1.8,31.9,2,2,Fail
45.0,5.2,33.4,4,1,Fail
90.9,4.1,79.5,3,2,Pass
84.8,4.3,95.8,3,2,Pass
74.4,1.6,70.8,7,3,Fail
88.8,2.7,78.7,7,0,Pass
90.0,3.6,82.1,10,5,Pass
78.1,4.3,44.7,6,1,Pass
87.8,1.0,28.4,0,4,Fail
77.3,5.3,25.1,9,5,Pass
76.0,5.0,51.3,3,3,Pass
71.4,1.9,43.1,0,0,Fail
81.5,4.6,29.7,10,4,Pass
36.9,3.1,38.5,4,4,Fail
91.1,2.8,34.3,2,2,Fail
90.4,2.1,93.6,2,0,Fail
27.2,3.4,35.5,3,3,Fail
86.9,4.1,65.3,1,1,Pass
34.7,2.6,69.5,6,1,Fail
50.1,3.6,65.8,3,3,Fail
80.8,4.0,32.4,4,2,Fail
37.1,4.1,48.9,1,2,Fail
86.3,0.8,28.8,5,4,Fail
87.4,4.8,54.7,8,0,Pass
63.1,2.8,39.1,7,4,Fail
25.5,1.8,67.1,7,1,Fail
46.5,1.7,77.0,1,3,Fail
71.3,2.9,64.9,3,0,Fail
98.6,4.9,57.6,7,3,Pass
72.4,2.4,54.1,10,0,Pass
44.5,4.2,88.1,0,5,Pass
72.6,1.0,41.5,7,1,Fail
65.5,2.9,80.1,2,1,Fail
83.5,5.5,81.8,7,5,Pass
33.0,4.4,56.4,5,0,Fail
82.1,1.6,47.3,6,2,Fail
65.6,3.0,60.3,1,0,Fail
97.2,1.7,32.0,0,1,Fail
50.6,2.5,28.4,5,3,Fail
72.4,4.4,33.4,2,4,Fail
94.9,4.4,39.0,3,3,Pass
32.7,1.6,62.8,8,1,Fail
95.3,5.1,88.7,2,3,Pass
76.6,3.5,42.7,1,2,Fail
30.1,2.4,95.1,1,2,Fail
47.6,3.0,96.6,1,0,Fail
78.1,3.5,96.9,5,3,Pass
30.1,3.3,87.8,1,3,Fail
68.7,2.9,52.3,10,1,Pass
50.9,3.0,30.5,6,0,Fail
71.6,1.4,67.7,6,0,Fail
28.4,4.6,66.9,6,3,Pass
90.4,3.2,88.7,1,4,Pass
98.0,1.2,99.7,6,3,Pass
97.7,4.3,63.1,9,3,Pass
81.2,5.2,50.9,7,3,Pass
34.8,5.2,38.9,7,2,Pass
81.9,2.3,25.4,1,5,Fail
26.8,1.2,63.2,4,0,Fail
26.7,3.1,66.7,5,5,Fail
49.3,1.1,86.9,8,2,Fail
61.6,5.2,62.8,5,4,Pass
82.8,1.4,93.7,9,1,Pass
76.2,1.8,72.1,5,4,Fail
58.4,2.5,88.0,9,0,Pass
45.5,2.4,36.1,9,1,Fail
99.8,4.5,89.2,5,5,Pass
57.0,2.8,75.6,8,4,Pass
58.9,1.4,37.8,9,0,Fail
37.3,1.8,39.2,6,4,Fail
84.6,3.0,94.5,0,1,Fail
77.0,1.2,27.4,0,1,Fail
41.6,3.6,59.7,3,4,Fail
31.2,3.3,48.5,1,2,Fail
76.0,4.1,74.9,2,4,Pass
74.1,5.2,88.0,6,5,Pass
45.5,5.1,52.0,6,4,Pass
96.3,5.2,57.0,2,4,Pass
36.3,1.7,98.6,1,2,Fail
57.4,1.2,83.8,0,3,Fail
95.8,2.0,92.3,8,1,Pass
56.5,5.0,57.9,9,5,Pass
72.9,5.4,42.6,2,0,Pass
54.8,4.8,55.9,8,1,Pass
45.6,1.1,78.7,3,1,Fail
98.8,5.2,33.2,9,3,Pass
55.7,2.6,45.3,5,1,Fail
92.1,0.5,28.5,6,1,Fail
42.2,2.7,57.4,9,2,Fail
41.0,0.7,87.1,5,2,Fail
27.3,3.2,26.8,0,2,Fail
73.9,2.2,75.6,5,2,Fail
52.6,2.9,94.9,10,2,Pass
89.8,3.6,42.8,5,5,Pass
60.5,4.8,77.0,4,0,Pass
97.6,3.8,98.1,2,3,Pass
38.9,2.7,97.2,9,4,Pass
90.1,4.6,42.6,2,5,Pass
83.2,5.0,32.5,10,2,Pass
82.8,1.1,36.1,9,3,Fail
88.4,3.2,77.7,6,4,Pass
82.1,1.9,79.4,7,1,Pass
72.0,0.7,75.6,2,5,Fail
34.8,3.8,50.2,2,1,Fail
27.4,4.8,37.7,6,3,Pass
94.1,1.3,68.6,9,0,Fail
71.2,4.6,61.3,6,0,Pass
84.7,4.8,79.7,10,3,Pass
61.1,5.1,58.1,8,0,Pass
33.8,1.8,50.4,5,0,Fail
34.4,5.0,47.0,6,1,Pass
76.4,2.1,40.9,10,0,Fail
57.3,3.3,44.9,9,0,Fail
40.0,0.8,32.1,0,3,Fail
61.9,0.7,51.0,6,0,Fail
29.8,4.1,27.7,1,5,Fail
68.6,2.7,39.0,6,2,Fail
45.2,1.8,81.0,2,2,Fail
84.8,1.5,49.4,8,3,Fail
48.3,3.8,75.1,4,2,Pass
59.1,0.5,78.8,6,1,Fail
25.9,4.5,68.6,7,5,Pass
30.4,0.9,96.9,1,5,Fail
54.4,1.5,26.6,10,3,Fail
61.0,2.4,80.4,0,0,Fail
70.0,2.9,96.9,6,2,Pass
46.9,2.3,89.7,5,1,Fail
77.1,2.1,37.6,5,3,Fail
89.5,5.3,49.5,1,3,Pass
83.5,3.7,37.9,2,0,Fail
28.0,0.6,70.1,3,4,Fail
61.0,2.7,78.4,2,2,Fail
32.9,4.9,48.8,1,1,Fail
43.2,2.0,65.5,2,3,Fail
99.0,1.0,76.8,5,2,Fail
35.7,4.3,56.6,8,1,Pass
62.4,3.5,89.1,3,5,Pass
71.4,3.4,82.9,5,5,Pass
77.7,0.8,29.8,0,1,Fail
67.0,1.2,71.6,5,5,Fail
25.7,3.6,42.6,2,3,Fail
49.5,1.5,66.8,8,2,Fail
63.8,3.0,96.8,3,1,Pass
31.6,3.2,90.9,6,3,Pass
51.3,1.9,55.3,3,2,Fail
27.5,5.2,46.9,10,2,Pass
30.9,4.7,42.6,5,3,Fail
54.8,4.1,64.9,6,2,Pass
35.0,0.9,33.6,1,4,Fail
67.6,1.0,66.2,9,1,Fail
76.7,3.0,25.1,5,1,Fail
85.0,1.3,49.3,7,2,Fail
40.0,5.4,41.5,5,3,Pass
37.6,1.3,97.8,1,0,Fail
32.8,2.9,79.5,3,5,Fail
72.7,2.3,51.2,0,2,Fail
78.0,3.7,32.0,6,0,Fail
27.4,1.1,63.8,7,2,Fail
95.2,2.7,41.0,9,0,Pass
28.9,1.9,65.2,1,2,Fail
65.6,4.9,87.7,9,3,Pass
78.2,0.7,71.2,4,5,Fail
90.3,5.1,72.5,10,0,Pass
78.6,4.7,65.6,7,4,Pass
85.1,2.0,94.5,10,3,Pass
50.5,4.4,94.9,7,5,Pass
86.1,0.7,63.5,4,2,Fail
31.0,5.3,47.9,7,0,Pass
92.1,3.1,59.5,5,5,Pass
66.1,2.0,39.0,4,1,Fail
86.3,2.3,72.7,10,3,Pass
58.9,0.8,62.5,3,0,Fail
73.3,5.4,32.7,4,3,Pass
64.5,0.7,39.8,3,0,Fail
79.9,3.8,61.0,0,1,Fail
31.1,2.7,91.6,2,4,Fail
29.5,5.2,67.5,7,1,Pass
43.5,1.7,76.1,6,2,Fail
37.0,3.2,50.4,6,3,Fail
90.4,2.9,67.9,10,4,Pass
41.4,4.0,58.6,2,3,Fail
98.2,0.8,74.4,8,5,Pass
50.3,1.5,28.8,5,0,Fail
38.7,1.6,62.0,7,2,Fail
84.2,4.2,47.2,7,2,Pass
74.4,1.4,49.5,2,3,Fail
62.4,3.4,97.1,3,2,Pass
66.7,1.6,38.7,5,3,Fail
78.9,4.8,48.3,1,0,Fail
42.1,5.2,63.2,10,0,Pass
99.7,3.1,89.7,6,3,Pass
98.1,2.3,56.3,1,1,Fail
73.8,1.7,80.8,10,1,Pass
40.0,0.7,89.2,4,0,Fail
76.0,1.8,48.3,3,4,Fail
30.4,3.8,54.5,8,1,Fail
27.3,3.2,51.7,1,3,Fail
44.3,5.2,87.5,6,0,Pass
59.7,2.5,28.3,6,2,Fail
90.1,4.0,48.1,6,2,Pass
79.5,2.9,76.0,0,1,Fail
80.7,3.1,67.4,7,4,Pass
56.9,1.8,57.7,1,5,Fail
50.9,2.8,65.5,4,1,Fail
52.8,2.9,39.8,1,4,Fail
99.1,4.0,57.3,4,1,Pass
28.0,5.2,62.6,6,2,Pass
90.0,2.1,92.6,5,4,Pass
68.4,0.7,44.6,4,2,Fail
57.9,3.0,90.1,3,3,Pass
79.4,3.2,73.3,7,3,Pass
61.5,1.3,26.5,10,0,Fail
90.5,4.3,79.3,7,2,Pass
92.6,5.4,27.7,0,2,Fail
56.6,5.2,99.8,9,0,Pass
45.8,1.5,90.4,1,3,Fail
69.4,4.9,47.3,2,3,Pass
93.4,4.0,44.3,0,4,Fail
40.8,2.8,53.6,10,4,Pass
71.7,3.2,51.7,2,5,Fail
72.4,4.7,52.9,9,3,Pass
80.0,2.9,48.9,7,5,Pass
34.9,2.4,71.6,3,1,Fail
78.7,3.0,37.3,6,2,Fail
93.2,3.4,88.4,6,4,Pass
38.5,1.4,85.9,10,1,Fail
42.8,5.0,60.7,4,4,Pass
97.9,3.9,89.0,0,0,Pass
38.6,3.7,43.5,9,2,Pass
89.1,1.0,26.3,3,5,Fail
61.9,3.5,71.4,6,5,Pass
43.5,1.1,59.3,4,4,Fail
90.3,0.9,67.5,1,3,Fail
58.4,3.1,92.5,7,5,Pass
63.6,2.5,97.7,1,0,Fail
51.9,3.4,72.6,10,0,Pass
69.5,0.9,82.3,7,3,Fail
37.3,2.7,31.3,10,0,Fail
54.3,1.4,37.1,1,2,Fail
97.7,5.4,80.0,10,4,Pass
44.4,3.3,57.4,4,0,Fail
74.3,3.9,58.4,3,2,Pass
49.4,2.1,48.1,0,3,Fail
83.0,1.0,70.6,7,4,Fail
34.8,5.4,38.9,9,3,Pass
97.7,1.9,72.0,2,4,Fail
59.0,2.6,38.0,3,0,Fail
42.7,3.7,29.8,3,0,Fail
30.5,0.6,49.8,4,4,Fail
37.7,4.6,42.3,2,2,Fail
64.0,3.2,91.7,8,2,Pass
